TEAM,Logo Url,Main,Menang,Seri,Kalah,Gol,Kemasukan,Selisih Gol,Poin,Akurasi Umpan,Akurasi Tembakan,Kartu Kuning,Kartu Merah,Offside,Umpan Gagal,Umpan Sukses,Pelanggaran,Penguasaan Bola,Tekel Sukses,Tembakan Diblok,Tembakan ke Gawang,Tendangan Sudut,Total Umpan,Total Tembakan
AREMA FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/32.png,7,2,3,2,11,9,2,9,561,366,14,2,9,536,2268,75,352,101,18,37,37,2804,85
BALI UNITED FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/71.png,7,2,3,2,12,14,-2,9,554,393,21,1,6,533,2190,90,368,82,24,39,46,2723,98
BHAYANGKARA PRESISI LAMPUNG FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/30.png,7,2,2,3,5,5,0,8,497,285,20,1,9,658,1696,99,313,106,16,20,40,2354,70
BORNEO FC SAMARINDA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/192.png,6,6,0,0,12,3,9,18,492,311,11,0,7,419,1999,62,310,80,24,32,29,2418,89
DEWA UNITED BANTEN FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/209.png,7,3,1,3,11,12,-1,10,607,324,15,0,16,463,3218,78,427,113,30,27,35,3681,87
MADURA UNITED FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/40.png,7,1,3,3,5,9,-4,6,577,345,12,1,10,508,2466,67,385,106,18,21,25,2974,62
MALUT UNITED FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/1819851379.png,7,3,2,2,13,10,3,11,554,364,10,0,14,517,2127,71,319,104,18,29,32,2644,73
PERSEBAYA SURABAYA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/280.png,6,3,1,2,8,5,3,10,478,301,7,2,6,438,1781,68,278,89,13,23,20,2219,54
PERSIB BANDUNG,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/11.png,6,3,1,2,8,6,2,10,490,258,12,2,12,380,1757,83,322,68,24,29,29,2137,89
PERSIJA JAKARTA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/12.png,7,3,2,2,13,8,5,11,589,309,19,2,6,439,2456,87,423,84,23,41,42,2895,110
PERSIJAP JEPARA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/21.png,7,2,2,3,7,10,-3,8,540,376,24,1,6,516,1894,84,359,99,31,42,32,2410,112
PERSIK KEDIRI,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/37.png,7,3,1,3,9,9,0,10,559,343,12,0,8,482,2023,88,336,98,18,27,41,2505,75
PERSIS SOLO,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/67.png,7,1,2,4,7,13,-6,5,576,352,14,2,15,481,2321,69,366,84,21,23,29,2802,62
PERSITA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/15.png,6,3,1,2,7,9,-2,10,458,285,12,1,7,386,1323,66,230,71,14,23,16,1709,60
PSBS BIAK,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/181.png,7,1,2,4,7,13,-6,5,549,391,13,0,8,502,1879,92,286,88,16,24,25,2381,66
PSIM YOGYAKARTA,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/27.png,7,3,3,1,9,6,3,12,580,433,16,0,12,485,2582,60,395,83,23,40,38,3067,89
PSM MAKASSAR,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/50.png,6,1,4,1,6,5,1,7,419,287,16,1,0,417,1069,69,218,85,14,18,28,1486,54
SEMEN PADANG FC,https://assets.ligaindonesiabaru.com/uploads/images/logo/88/h/50/5.png,6,1,1,4,5,9,-4,4,476,248,13,0,11,459,1840,77,313,83,11,26,35,2299,70
